customer_id,Recency,Frequency,Monetary
4328,21,4,808.2
15365,83,7,807.99
4993,10,6,805.56
16958,24,5,805.35
14229,116,5,804.85
16452,230,4,804.46
13172,10,6,803.84
6042,0,5,803.11
8830,20,7,800.17
5055,98,6,797.11
19060,25,4,796.75
2647,101,3,795.83
23454,31,6,795.68
17482,5,4,795.03
19791,120,6,794.86
22841,54,6,794.69
7391,196,5,794.28
5847,1,4,792.52
2429,23,5,792.09
17162,198,7,788.91
11482,14,4,787.6
22794,26,4,787.19
19395,51,7,787.06
22395,68,4,785.44
3051,52,5,785.11
9827,31,5,783.24
5477,42,5,782.66
22319,22,4,781.61
15744,162,5,780.74
797,3,7,775.93
21459,11,5,775.91
2957,44,6,775.82
7274,8,5,775.26
23060,11,5,774.41
2930,480,5,772.42
10355,359,5,768.83
5050,20,5,766.75
11462,51,4,766.57
20214,35,5,766.04
16467,0,5,765.81
7470,20,5,765.79
3206,4,7,765.37
19298,165,6,765.19
10218,26,7,762.9
20668,91,3,762.85
2266,55,6,761.68
14569,143,4,757.79
11292,46,7,755.46
4240,98,7,755.19
22228,99,5,752.66
9355,505,2,752.45
18777,11,7,751.72
17421,46,6,750.82
14153,33,5,750.37
246,10,5,750.18
21770,1,5,749.87
1396,4,6,747.25
9132,117,6,746.54
1195,23,4,746.04
12568,16,7,745.71
4302,53,4,745.53
11527,25,5,740.87
9112,7,4,740.69
12295,20,4,738.48
21934,31,5,738.15
8008,205,5,736.77
6690,24,5,735.91
3176,30,4,732.93
2953,96,6,732.73
6482,14,7,731.04
4821,362,6,729.25
13541,27,6,728.98
6322,15,4,728.5
21229,47,6,728.34
12902,38,6,726.47
2356,169,7,725.26
3537,235,2,722.32
2158,35,7,721.91
21122,50,7,721.2
8358,152,6,720.53
9748,67,5,720.5
12845,83,5,719.92
10455,261,4,718.78
12842,151,4,717.29
3475,15,3,716.7
11279,7,6,716.49
16865,273,6,715.89
9884,236,7,711.45
22314,112,4,710.32
13680,15,4,709.8
11475,8,8,709.63
19391,26,4,708.64
3285,16,4,706.0
1593,0,4,705.86
13439,3,4,705.33
4894,103,7,704.29
13603,24,5,704.14
5658,62,5,701.82
5804,7,5,698.49
6866,2,5,696.29
15177,47,7,694.41
14359,155,8,693.23
328,0,3,692.62
16809,51,6,690.8
9368,29,3,689.33
5509,20,7,687.66
19401,73,7,687.11
6830,37,4,686.53
11682,149,6,686.13
13820,193,5,685.78
546,33,4,685.46
5835,70,5,684.82
1726,12,4,683.79
19701,92,6,683.18
16498,7,8,681.96
6529,343,4,681.23
21396,424,3,680.99
16729,21,5,680.29
14599,15,5,677.01
8152,20,5,676.33
20695,72,6,676.11
22649,12,6,676.08
14184,20,3,675.99
23179,397,7,675.74
3412,83,7,675.53
18764,39,5,675.44
15026,12,5,673.9
3559,49,5,673.63
9210,15,5,673.56
21345,18,7,671.5
16684,81,5,671.04
8583,27,4,670.71
659,27,5,670.0
15423,2,8,669.56
14208,88,6,667.62
4988,14,6,667.36
8992,6,7,666.23
22664,42,6,665.47
4195,22,3,665.3
16123,19,6,664.87
8797,14,7,664.83
4401,55,5,664.25
19662,88,5,664.11
22825,10,5,663.48
18445,67,3,663.27
22264,19,5,662.88
22268,12,6,661.35
13846,6,6,660.23
6218,7,5,660.1
14625,0,4,659.55
8852,130,4,659.42
10446,12,6,659.18
14589,132,5,658.8
11063,144,4,657.96
564,30,3,657.87
23191,105,6,657.78
6348,138,6,657.33
8688,63,6,656.76
11109,62,6,656.54
19066,49,5,655.87
1523,31,4,654.98
2533,35,3,654.0
20,528,2,653.01
729,12,4,651.14
7856,53,5,650.49
10622,209,4,650.22
13955,198,5,650.2
20170,138,4,649.94
48,17,4,649.93
18108,74,5,649.11
15518,32,4,647.75
14018,231,5,646.89
14010,27,6,646.71
15929,75,5,646.18
3230,227,4,644.75
4106,13,4,644.48
12637,150,7,643.83
13403,11,4,643.01
1719,202,5,642.44
7066,31,4,642.19
3936,12,6,642.02
11501,92,4,641.75
8712,46,3,641.69
2159,3,7,641.32
21847,34,4,640.85
9797,11,3,640.76
20200,287,8,640.49
6153,23,4,639.36
4641,80,7,638.81
10560,119,6,638.32
7306,257,4,636.25
16822,92,4,633.58
9237,130,5,633.53
9179,22,7,633.27
22861,4,5,632.71
6500,10,5,632.45
8969,14,7,630.54
9808,19,4,629.59
18532,13,7,625.3
4686,124,6,624.78
4165,5,5,624.24
5608,29,5,624.13
4209,206,5,624.04
8037,18,4,623.3
13493,4,6,622.64
18710,95,5,621.66
18619,6,4,621.12
5112,12,5,620.49
8144,66,4,620.34
8265,124,4,619.16
10823,101,7,618.15
5883,51,6,617.27
15246,94,6,615.33
11513,104,5,615.13
14019,16,4,615.04
16363,9,5,614.96
13212,285,6,613.94
9034,221,4,613.69
17240,8,6,613.56
16709,312,4,612.83
17606,12,6,611.83
19158,82,5,610.76
8393,75,4,610.59
12215,124,6,609.79
6355,24,5,609.5
12455,20,6,608.82
5379,77,7,608.66
19448,23,4,607.8
1563,197,4,607.63
20656,4,5,606.9
17914,26,5,605.22
11249,91,5,604.63
4748,8,7,603.22
4678,98,4,602.93
2760,54,4,602.25
17280,1,4,601.76
824,18,6,600.37
3384,33,5,600.12
6789,32,5,598.99
783,12,8,598.65
16458,60,3,598.62
635,65,6,598.57
1785,222,4,597.58
13093,20,4,597.13
22824,13,8,595.63
20071,289,4,595.19
16944,3,4,593.35
9299,32,5,592.96
19226,59,6,592.81
2033,107,4,591.28
4184,29,4,588.91
10344,168,7,588.9
2601,33,5,588.28
6067,28,5,587.83
16667,317,6,587.76
18290,124,4,587.51
4436,108,4,587.07
15084,12,5,586.98
13967,96,5,586.78
3128,411,5,586.67
15111,32,5,586.15
14083,48,5,585.58
4225,69,4,585.28
11766,324,4,583.88
5359,154,3,582.99
8351,19,4,582.67
23388,282,5,582.61
13121,311,3,582.39
9572,233,2,581.91
5192,293,4,581.89
11832,63,5,581.29
9993,15,6,581.16
5404,78,5,580.19
2931,19,6,580.13
344,36,5,580.12
17718,34,5,580.09
20306,117,5,579.67
13328,34,5,579.63
19038,229,4,579.3
1633,166,7,578.84
6163,105,6,578.25
19219,20,6,578.18
4383,69,5,578.02
16320,46,6,577.37
7452,29,4,577.21
21761,79,5,576.23
3589,145,6,575.9
7854,83,5,575.43
2717,45,5,574.9
11033,268,5,573.29
12852,119,6,572.27
89,20,4,571.88
389,24,6,571.76
6837,307,6,571.58
15808,106,6,571.08
177,48,3,570.08
20914,61,4,568.41
20201,19,8,568.35
9812,28,6,567.38
19058,241,5,567.25
3918,13,4,566.58
7329,61,4,566.51
6804,0,4,566.42
2534,21,5,566.05
1874,56,7,565.24
9120,43,4,564.37
19909,29,6,564.28
3065,236,4,564.19
18087,57,6,563.24
22893,15,5,562.67
22924,0,5,562.54
14108,46,4,562.29
5917,35,8,561.52
17255,45,3,560.4
17888,130,3,560.37
13523,261,5,559.36
8655,87,5,559.26
9281,139,7,558.63
3981,0,4,557.76
18424,83,4,557.37
18271,54,4,556.28
18155,387,5,556.17
6375,3,4,556.09
7792,292,4,556.07
14453,13,2,555.46
14646,93,6,555.31
9612,25,4,555.2
850,237,6,553.71
4119,74,3,552.35
20676,222,4,551.99
10954,42,4,551.46
12489,11,4,551.37
3415,113,5,551.0
8715,221,4,550.88
14910,285,4,550.67
5649,78,5,550.06
21529,117,5,549.61
12191,175,4,548.65
16607,29,5,548.03
10258,2,6,547.57
14661,449,5,546.53
7377,66,4,545.68
7152,357,6,545.47
7516,77,5,545.22
23000,120,4,544.86
15238,463,1,544.83
13903,7,6,543.83
13475,308,4,542.63
5677,149,5,542.1
18050,62,4,542.01
5145,75,4,541.9
14084,243,5,541.66
12750,28,6,539.98
6225,6,4,539.56
19947,98,4,539.11
12056,98,5,538.62
300,4,3,538.43
11572,19,5,537.66
21653,31,4,536.66
2661,101,5,536.59
1669,109,4,536.04
10639,37,6,535.91
1414,109,4,535.06
1791,15,5,534.95
17178,105,5,534.87
22939,69,5,534.73
7649,238,2,534.27
14930,130,5,534.07
19056,8,5,533.64
13638,32,6,533.29
3356,38,5,532.13
3416,105,2,531.84
13361,373,4,530.44
22624,93,6,529.15
20594,65,3,527.41
5180,24,6,526.8
18499,75,6,526.34
11483,94,6,525.19
15010,4,7,524.89
10613,93,6,523.72
16718,86,6,523.49
20115,55,5,523.2
3985,5,5,523.02
145,31,4,521.96
9965,341,4,521.72
10517,464,2,521.32
12108,6,6,521.25
20400,49,5,521.01
15624,181,4,519.4
6244,69,6,519.27
5965,246,3,519.26
4476,8,5,517.78
6888,44,4,517.75
8027,212,5,517.39
3041,11,2,517.33
6884,200,4,517.26
15815,45,6,516.96
4755,21,5,516.18
13520,99,4,516.05
12154,19,5,515.82
1690,13,4,515.7
8009,10,4,514.4
14790,19,6,514.36
21421,17,5,513.82
9933,159,4,513.49
8950,49,4,512.99
10924,107,4,512.75
10591,450,4,512.64
16097,43,4,512.13
2509,100,4,511.12
9208,15,5,510.77
11213,152,6,510.31
15386,26,5,509.42
457,536,3,509.26
1572,290,5,508.81
15838,284,6,508.42
9661,7,6,508.05
18573,1,3,507.76
15003,492,1,506.97
17072,56,5,506.48
14305,30,4,506.21
2928,25,3,505.98
21817,153,4,505.19
11839,192,6,503.51
10306,20,6,503.42
11494,36,3,501.52
3795,35,6,501.49
14403,44,3,501.3
14089,15,3,501.28
3486,3,6,501.06
1973,198,4,500.92
8462,60,6,500.63
14577,3,4,500.22
14940,201,4,499.41
12272,16,5,499.06
6423,10,2,498.04
7526,200,6,498.01
14099,296,6,497.76
4985,27,5,497.12
20391,199,3,496.99
9975,20,3,495.7
23340,47,5,495.45
4078,131,5,495.33
23313,72,5,495.29
22937,83,3,494.61
4072,17,3,494.05
9651,497,1,493.91
4780,84,4,493.6
23149,0,4,493.48
19369,27,4,493.45
980,19,6,493.23
6432,61,3,492.6
8192,8,2,492.17
18984,223,4,492.06
18944,50,5,492.05
13609,1,4,491.47
4885,144,4,491.41
8381,74,7,491.0
4945,396,4,490.31
8665,26,5,490.1
13122,324,4,490.1
21892,15,4,489.7
1893,54,5,489.18
13332,13,5,488.92
609,204,5,488.33
6851,269,3,486.85
18675,418,4,486.54
11603,48,3,486.04
15379,113,4,485.95
21791,276,3,484.58
11515,0,4,484.49
5068,63,7,484.14
10820,32,3,484.03
16640,45,6,483.32
3982,60,4,483.18
15100,106,3,483.12
22802,8,5,483.03
22676,74,5,482.72
1510,5,5,482.21
22099,295,4,482.12
12600,59,5,481.31
11905,96,5,481.3
9744,60,5,481.13
4766,235,2,480.49
15385,6,2,480.16
19036,43,4,479.43
3544,438,5,478.87
456,222,5,478.53
14637,13,4,478.0
8670,32,3,477.54
12559,366,4,477.39
15637,87,5,477.35
20242,20,5,476.75
7250,174,5,476.1
10719,62,5,476.01
8555,38,6,475.53
6379,296,4,475.04
4115,211,4,474.73
12483,57,4,473.53
14491,20,3,473.44
8227,338,3,473.33
19439,184,5,473.07
8697,119,5,472.47
13171,146,4,472.28
18712,225,6,472.25
22741,175,4,472.21
19199,92,5,471.98
20824,109,4,471.5
1417,199,3,471.44
1354,407,2,471.1
7734,9,5,470.83
5104,132,4,470.73
4520,41,5,470.45
17319,32,8,469.02
18866,91,5,468.99
2073,536,2,468.53
11827,48,2,468.36
11021,3,5,468.12
1171,30,5,468.04
8218,21,6,467.78
10855,169,4,467.69
12983,87,5,467.68
6368,335,3,467.62
11466,135,4,467.13
3402,61,4,466.75
7721,205,5,466.59
836,230,3,466.46
5403,45,4,466.24
11630,93,5,465.39
17391,43,4,465.37
711,15,4,465.1
22909,445,2,465.04
13708,2,3,464.45
16774,115,5,463.89
20425,71,4,463.81
1176,2,5,462.94
16214,54,6,462.5
3442,235,4,461.91
12993,133,5,461.75
22607,173,4,461.71
3125,384,4,461.35
19500,14,5,461.31
10882,265,4,460.14
3409,121,5,460.11
15305,41,4,459.89
16212,233,5,459.85
12892,107,4,459.8
20357,442,4,459.66
6397,107,4,458.16
1610,147,5,458.16
808,21,4,458.13
7562,55,4,458.02
18340,125,5,457.89
21321,4,5,457.83
21977,239,4,457.17
19207,18,5,456.81
2810,229,4,456.79
16477,62,5,456.63
5893,144,4,456.22
22707,22,3,455.95
22152,208,4,455.32
17062,300,5,454.09
15503,81,4,453.99
846,88,4,452.28
7906,95,3,451.7
12579,62,5,451.65
6060,164,4,450.32
19202,32,3,450.31
11693,32,4,450.18
5867,6,4,450.18
1170,40,5,450.1
6089,15,4,450.01
19080,459,3,449.41
1711,23,6,447.95
7730,425,4,447.7
18547,99,6,447.6
23071,113,3,447.59
21834,191,4,447.41
20345,62,5,447.09
1661,21,2,446.88
4741,106,5,446.75
14795,30,3,446.75
16119,46,4,446.3
5336,3,4,446.06
1566,339,3,445.91
52,53,4,445.68
6494,39,5,445.47
22665,61,5,445.23
16366,172,3,445.21
14776,254,4,445.04
9307,116,5,444.46
15528,90,4,444.28
16098,68,4,444.27
6051,15,4,443.82
7791,18,2,443.62
9798,88,4,443.41
7461,46,5,443.21
21619,36,5,443.17
8871,475,3,442.74
11938,24,4,442.56
12807,202,3,442.51
10242,8,4,442.38
12939,106,3,442.35
9154,8,5,442.33
10027,68,4,441.51
3558,261,5,441.36
21281,40,5,441.05
938,108,4,441.01
16033,445,2,439.49
16465,293,3,439.21
9863,46,4,438.92
7596,49,4,438.48
5553,233,5,438.06
8863,108,7,437.7
13676,203,4,437.25
14081,50,3,436.95
9362,510,1,436.91
5784,46,3,436.85
8183,115,5,436.8
5988,29,4,436.63
7291,36,2,436.04
29,65,4,435.81
6145,23,3,435.35
12941,452,3,434.97
6799,7,5,434.86
2547,135,5,434.74
10606,261,4,434.07
11584,64,4,433.74
19906,67,4,433.56
13787,126,6,433.54
1410,28,3,433.19
13078,22,4,433.08
3887,23,4,433.05
6950,519,1,432.76
2784,120,5,432.65
1741,34,4,432.6
10370,0,5,432.58
3528,122,3,432.48
5956,7,3,432.44
15500,273,3,432.43
14112,18,5,432.01
12238,85,5,431.94
6022,429,2,431.8
4474,179,4,431.74
12060,45,6,431.66
21365,27,4,431.05
19708,75,5,430.83
18975,43,3,430.71
81,276,4,430.69
10586,54,3,430.32
14768,17,4,430.19
2124,29,3,429.53
16715,1,3,429.43
6209,130,5,428.8
8431,62,6,428.49
16319,50,4,428.09
6951,17,4,427.9
47,24,3,427.8
19923,63,3,427.69
7955,82,4,427.49
20734,449,3,427.36
23096,100,4,426.99
3015,144,5,426.89
14568,114,4,426.39
19627,6,3,426.27
3110,218,5,426.12
5034,21,4,426.02
5386,2,4,425.96
11390,109,6,425.96
12058,231,3,425.83
3428,61,3,425.71
12747,123,4,425.66
16466,61,5,425.56
14314,3,5,425.46
14118,139,5,425.38
9531,39,4,424.93
11055,25,5,424.49
3229,38,4,424.41
8398,7,5,424.11
8634,108,4,423.91
9870,166,4,423.91
9000,95,4,423.86
12102,11,5,423.17
9666,49,5,422.96
23041,15,3,422.75
13588,119,3,422.7
15033,461,1,422.66
10879,35,3,422.4
5401,4,3,422.36
12934,14,4,422.23
5550,339,6,422.2
22532,223,4,421.04
9446,15,4,420.85
2308,118,3,420.81
4864,46,5,420.37
8017,41,3,420.17
16340,238,5,419.5
7471,52,6,419.44
15770,21,5,417.72
11069,23,3,417.68
11771,25,4,417.47
1488,79,4,417.24
11634,349,4,417.19
19156,199,5,417.09
1765,26,4,417.04
161,29,4,416.91
5527,15,3,416.7
21907,153,4,416.69
22355,20,4,416.63
22436,55,5,416.09
19737,23,6,416.09
3157,95,2,415.81
3948,160,2,415.57
18496,25,5,415.42
1167,73,5,415.29
22930,98,3,415.23
6187,40,5,415.23
10768,66,4,415.03
4478,8,4,415.02
12843,21,5,414.94
6273,168,3,414.86
6562,17,4,414.55
18787,47,5,414.51
15298,2,4,414.19
5808,42,4,413.79
7969,9,4,413.24
18915,38,4,413.05
13823,71,2,413.03
323,8,5,412.75
12024,158,3,412.47
13453,168,5,412.39
1551,16,5,411.89
339,221,4,411.84
22594,66,2,411.66
691,2,5,411.62
19320,5,5,411.55
11227,95,3,411.44
20740,124,5,411.07
10339,24,2,411.04
19820,136,3,410.59
2021,119,6,409.91
11093,206,5,409.88
3614,197,6,409.5
3812,153,3,409.21
17863,68,5,409.19
10600,6,3,408.86
22883,34,3,408.71
21475,30,4,408.48
13094,56,5,408.36
21878,41,5,408.29
13275,19,4,408.26
13782,396,4,408.21
2223,20,5,408.03
16484,35,4,407.45
6663,128,2,407.06
9206,22,1,406.53
4440,20,3,405.91
13487,72,3,405.31
11066,44,5,404.96
3413,124,5,404.77
3332,3,4,404.45
20985,45,4,404.45
14996,16,3,404.36
4683,42,4,404.34
13546,13,4,404.33
20504,132,4,404.31
6872,2,4,403.83
4828,21,5,403.69
1205,321,4,403.25
2108,39,5,402.94
2081,187,5,402.89
2629,214,5,402.79
6761,24,4,402.22
9750,31,5,401.76
4594,258,2,401.64
13384,98,5,401.27
4503,98,5,401.21
4359,487,2,400.84
8970,20,5,400.38
7148,203,4,400.16
19352,3,5,400.0
10009,243,3,399.97
22274,117,4,399.94
16785,117,3,399.67
19912,315,4,399.65
19946,476,1,399.63
979,96,5,399.59
15619,246,5,399.59
8494,77,5,399.58
19699,28,6,399.53
10101,29,4,399.14
5657,74,4,398.59
5747,146,5,398.55
14898,43,4,398.39
16093,30,4,398.29
7309,59,5,397.42
5779,366,2,396.6
8454,114,4,396.06
19438,23,6,395.99
6117,102,4,395.98
14726,28,4,395.77
22506,112,3,395.59
3350,7,3,395.56
14350,30,4,395.12
19329,0,4,394.97
773,190,4,394.8
18046,61,5,394.29
11876,213,5,393.96
9181,4,3,393.79
12953,70,4,392.61
6072,135,5,392.5
2738,142,6,392.38
933,449,4,392.04
12336,1,1,391.87
6283,23,2,391.37
5125,37,3,391.21
5345,201,4,390.98
18324,55,2,390.93
1769,31,6,390.79
3481,155,4,390.73
9230,337,4,390.48
13504,441,3,390.35
8333,510,1,390.03
14296,68,4,389.93
3882,12,3,389.92
11371,76,4,389.91
1248,90,4,389.84
12838,57,3,389.64
11903,20,4,389.5
8022,0,3,389.44
5878,12,4,389.03
20732,4,3,388.89
1314,28,4,388.7
22637,60,4,388.61
7130,30,4,388.54
10533,96,4,388.5
14146,4,5,388.47
17142,21,3,388.31
626,42,4,387.87
6315,12,5,387.8
21628,111,4,387.71
14015,134,5,387.07
2164,39,4,386.73
15514,209,2,386.7
295,95,4,386.58
1494,17,4,386.47
1594,30,6,386.45
10113,45,4,386.34
17814,10,5,386.26
2562,482,3,385.99
5,178,4,385.61
18259,70,4,385.58
15035,60,4,384.92
14507,158,5,384.79
15583,266,5,384.43
9458,74,5,384.38
7469,83,3,384.22
9465,25,5,384.07
22748,20,5,384.06
9743,37,3,383.47
8032,166,5,383.34
19772,139,4,383.28
17959,40,5,383.2
7163,518,1,382.62
8132,20,4,382.42
16330,65,3,382.27
1160,509,3,382.23
13855,34,3,382.18
8121,93,6,382.08
21230,180,6,382.01
23162,4,4,381.99
1695,28,2,381.96
16046,251,2,381.75
2166,12,3,381.68
15788,28,3,381.59
14998,16,5,381.49
15259,98,4,381.28
3070,533,1,381.0
13263,334,2,380.83
1970,3,5,379.87
22435,61,4,379.6
7956,65,6,379.47
11006,172,5,379.25
23105,25,4,378.73
10085,99,3,378.46
12883,395,2,378.38
6295,205,3,378.26
11326,114,4,378.11
8617,49,3,378.11
18718,295,4,378.02
2438,373,4,377.93
2210,159,4,377.73
3163,97,2,377.3
21781,105,4,377.11
20793,96,3,377.07
18103,69,5,376.84
6126,39,1,376.82
3184,25,5,376.77
15163,130,4,376.45
10263,442,2,376.4
2307,118,4,375.84
22472,299,2,375.6
3214,387,4,375.46
2759,0,3,375.46
13032,8,3,375.25
1626,167,4,374.86
602,333,3,374.6
16430,78,4,374.5
12999,3,4,374.47
9027,109,5,374.31
19020,242,4,374.28
7213,26,3,374.14
23251,462,1,374.0
15424,412,3,373.86
16853,45,4,373.61
8648,270,3,373.34
5876,75,6,373.27
18623,16,4,373.27
8943,196,5,373.06
15289,143,3,372.42
22549,7,1,372.35
13888,32,4,372.31
21905,94,2,372.19
19217,30,2,372.17
16836,267,4,372.02
17725,17,5,371.96
3701,56,4,371.81
16284,413,6,371.34
23147,19,4,371.29
10347,30,5,371.23
1183,11,3,371.08
6591,5,4,371.08
3283,50,4,370.84
11311,94,5,370.26
3523,88,4,370.06
16919,10,3,370.04
21350,231,2,370.0
10744,35,2,369.99
23362,49,4,369.77
18215,84,4,369.58
13974,32,4,369.57
13691,344,5,369.38
12651,444,3,369.11
16589,60,3,369.11
17310,6,4,369.05
7535,117,4,368.99
15377,47,5,368.89
8450,107,4,368.81
10588,34,4,368.67
15335,27,5,368.21
17751,85,2,368.17
4642,13,5,368.02
1983,137,5,367.88
5427,246,4,367.87
1185,230,4,367.82
15080,96,2,367.58
